Name,total_timelines,total_keys,revisions
Vyacheslav_Lebedev_(Chief_Justice),1,27,3
John_Gordon_(Victorian_politician),0,25,0
Gediminas_%C4%8Cerniauskas,1,17,0
Steven_J._Mulroy,0,9,0
Norman_T._Gassette,0,3,0
Lai_Chuanzhu,0,25,0
Joy_Mukanyange,1,36,0
Sepp_Helfrich,0,16,0
%C3%81ngela_Bachiller,2,25,0
Palmerston_(cat),4,20,77
Apsara_Reddy,3,12,54
Basavaraj_Patil_Attur,2,9,0
Jenny_Palmer,3,35,34
He%C3%B0in_Mortensen,3,8,0
Tito_Oro_Nobili,0,14,0
Andries_Van_den_Abeele,1,11,0
Victoria_Carter,1,8,7
Katrien_Meire,4,9,70
Misty_Snow,0,8,0
Wolfgang_Gedeon,3,9,26
Angelic_Alihusain-del_Castilho,4,29,0
Christophe_Steiner,2,28,13
Thae_Yong-ho,4,40,187
Mark_Callahan,3,14,0
Brian_Fallon_(press_secretary),2,12,26
Concepci%C3%B3n_Lombardo,0,13,0
Juras_Po%C5%BEela,1,21,0
Mikl%C3%B3s_V%C3%A1s%C3%A1rhelyi,0,14,0
Chen_Mingren,0,21,0
Charles_E._Cunningham,0,9,0
G%C3%A9rard_Weber,1,32,0
Sayed_Zafar_Hashemi,2,16,8
Te%C3%B3filo_Duarte,0,15,0
Josh_Gallion,1,17,50
Josef_Ulbrich,0,17,0
Donald_Liao,1,21,0
Michael_Sze,1,24,18
Ken_Harbaugh,1,14,0
Olli-Pekka_Heinonen,1,8,14
Andrew_Yang,4,32,2191
Isabelle_Ebanda,0,8,0
Silvino_Silv%C3%A9rio_Marques,1,18,0
Mduduzi_Manana,2,25,22
Gurjeet_Singh_Aujla,2,17,18
Hlengiwe_Mkhize,7,17,47
Bas%C3%ADlio_Pina_de_Oliveira_Seguro,1,16,0
Mykola_Martynenko,1,33,0
Milan_Jazbec,1,22,0
Atif_Mian,0,7,0
Loretta_Handrabura,5,17,0
Ion_Sula,5,18,3
Ghaleb_Cachalia,0,16,0
Michael_Pack,2,16,196
Laura_Moser,0,8,0
Randy_Bryce,0,13,0
Marjolaine_Meynier-Millefert,1,7,5
Sereine_Mauborgne,2,12,7
Predrag_%C5%A0tromar,3,15,0
Mun_Song-sul,0,6,0
Selay_Ghaffar,1,10,0
Leonel_Pontes_(politician),2,7,0
Alfred_von_dem_Knesebeck,0,19,0
Chiril_Lucinschi,6,32,8
Alessandro_Di_Saluzzo_di_Monesiglio,0,10,0
Sylvette_Frichot,0,17,0
Ruxanda_Glavan,6,16,14
Sh%C3%A9ridan_Oliveira,1,12,0
Vadim_Mi%C8%99in,4,16,0
Edel_Saunte,0,81,0
Robert_M._Weaver,1,22,15
Miggy_Tolentino,4,31,25
Carolina_Schmidt,4,13,8
Abdul_Hamid_Zainal_Abidin,2,41,0
Sandra_Gim%C3%A9nez,3,15,0
Birg%C3%BCl_Ayman_G%C3%BCler,2,30,0
